id;date;details;status;payment_method;payment_date;payment_amount
1;2021-03-09T23:33:44;RAM Focused;PAID;CASH_ON_DELIVERY;2021-03-10T07:55:51;64379
2;2021-03-09T20:23:50;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2021-03-10T01:34:08;17323
3;2021-03-10T00:51:15;Incredible Baby;CANCELLED;PAYPAL;2021-03-10T04:22:56;11017
4;2021-03-09T22:21:10;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2021-03-09T22:25:18;51438
5;2021-03-09T17:01:18;function;PAID;PAYPAL;2021-03-10T09:35:23;32278
6;2021-03-09T18:01:06;action-items;CANCELLED;CASH_ON_DELIVERY;2021-03-10T07:48:18;5232
7;2021-03-10T10:47:49;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2021-03-10T04:25:11;62169
8;2021-03-09T20:42:53;Toys;ISSUED;PAYPAL;2021-03-10T07:20:50;10756
9;2021-03-09T22:13:18;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2021-03-10T11:56:51;58055
10;2021-03-09T20:51:03;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2021-03-10T09:17:14;94075
