id;placed_date;status;code
1;2021-03-10T06:55:44;COMPLETED;Georgia calculate withdrawal
2;2021-03-09T17:52:14;COMPLETED;compress Steel out-of-the-box
3;2021-03-09T19:23:26;PENDING;Concrete
4;2021-03-10T08:49:21;CANCELLED;Investment Account
5;2021-03-09T20:06:11;PENDING;United States of America
6;2021-03-10T10:18:15;CANCELLED;IB Industrial Credit Card Account
7;2021-03-10T13:24:40;CANCELLED;Cotton Egyptian Pound
8;2021-03-09T22:20:44;COMPLETED;Home Loan Account
9;2021-03-10T07:15:00;COMPLETED;Human
10;2021-03-09T17:23:38;CANCELLED;payment
